epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0817,2.53438,4.63704,2.04047,0.66291,0.1806,0.22145,0.08311,1.98672,3.23543,1.46556,0.000164931,0.000164931,0.000164931
2,71.7653,2.02598,2.65825,1.5369,0.70439,0.45827,0.57514,0.26129,1.98929,2.23748,1.51487,0.000326126,0.000326126,0.000326126
3,107.491,1.86914,1.86885,1.43665,0.78145,0.75557,0.82429,0.40599,1.76776,1.33926,1.33163,0.000481821,0.000481821,0.000481821
4,141.441,1.79616,1.6226,1.3865,0.82109,0.83977,0.87002,0.46711,1.60312,1.12,1.25514,0.00047525,0.00047525,0.00047525
5,177.026,1.72355,1.43011,1.34929,0.80779,0.83583,0.86949,0.46682,1.624,1.05828,1.24349,0.000467,0.000467,0.000467
6,210.569,1.70638,1.35063,1.33838,0.8038,0.8572,0.87876,0.45597,1.68123,0.97384,1.28539,0.00045875,0.00045875,0.00045875
7,245.652,1.67783,1.27524,1.3234,0.87331,0.82441,0.90273,0.49578,1.57639,0.90782,1.22445,0.0004505,0.0004505,0.0004505
8,281.099,1.64368,1.19426,1.30193,0.83088,0.86593,0.89949,0.52333,1.5113,0.83905,1.2153,0.00044225,0.00044225,0.00044225
9,318.009,1.6017,1.13473,1.28039,0.84707,0.83035,0.84932,0.47093,1.5968,0.99429,1.25589,0.000434,0.000434,0.000434
10,353.851,1.59062,1.10387,1.26997,0.8508,0.89041,0.91042,0.51588,1.53035,0.82645,1.21558,0.00042575,0.00042575,0.00042575
11,389.415,1.56819,1.04657,1.25735,0.82724,0.90487,0.91187,0.52235,1.51234,0.80928,1.20253,0.0004175,0.0004175,0.0004175
12,424.209,1.55487,1.01923,1.25489,0.87018,0.91418,0.91437,0.5073,1.59711,0.77918,1.24153,0.00040925,0.00040925,0.00040925
13,459.516,1.54487,0.9946,1.24697,0.88368,0.9166,0.92889,0.53018,1.51595,0.76304,1.21353,0.000401,0.000401,0.000401
14,494.524,1.50915,0.95724,1.23386,0.9024,0.88584,0.92182,0.53404,1.52343,0.77172,1.21309,0.00039275,0.00039275,0.00039275
15,529.856,1.48526,0.92321,1.22354,0.85461,0.91136,0.91903,0.52372,1.53231,0.75023,1.21824,0.0003845,0.0003845,0.0003845
16,563.954,1.47946,0.90504,1.21251,0.86522,0.92817,0.91954,0.50862,1.56952,0.73467,1.22933,0.00037625,0.00037625,0.00037625
17,598.999,1.48002,0.87531,1.21541,0.85994,0.90066,0.9136,0.5107,1.57619,0.74188,1.2461,0.000368,0.000368,0.000368
18,634.094,1.457,0.86342,1.21567,0.8598,0.90896,0.91408,0.52081,1.57168,0.73823,1.23142,0.00035975,0.00035975,0.00035975
19,669.757,1.45321,0.84797,1.19897,0.87993,0.90703,0.92123,0.52862,1.51454,0.74379,1.21995,0.0003515,0.0003515,0.0003515
20,704.076,1.42985,0.82167,1.19911,0.88803,0.92301,0.93688,0.54309,1.48097,0.69073,1.20479,0.00034325,0.00034325,0.00034325
21,739.276,1.42934,0.8104,1.19925,0.8702,0.92852,0.9365,0.53459,1.51031,0.70782,1.21451,0.000335,0.000335,0.000335
22,773.075,1.41639,0.79548,1.18972,0.88169,0.93993,0.94128,0.53787,1.50539,0.67529,1.20467,0.00032675,0.00032675,0.00032675
23,808.358,1.40766,0.78688,1.18464,0.88458,0.93684,0.94094,0.55037,1.48848,0.66132,1.20557,0.0003185,0.0003185,0.0003185
24,842.604,1.39251,0.76558,1.17632,0.8749,0.93005,0.94029,0.55247,1.48478,0.66613,1.20262,0.00031025,0.00031025,0.00031025
25,878.09,1.39197,0.76649,1.17529,0.8695,0.93995,0.93925,0.54087,1.492,0.66422,1.20949,0.000302,0.000302,0.000302
26,912.035,1.38551,0.75455,1.17509,0.88867,0.95298,0.94927,0.56213,1.43985,0.64109,1.17825,0.00029375,0.00029375,0.00029375
27,947.503,1.37123,0.74816,1.16501,0.87639,0.90807,0.93517,0.5459,1.48544,0.65274,1.2035,0.0002855,0.0002855,0.0002855
28,980.879,1.36462,0.73405,1.17007,0.8827,0.92739,0.94476,0.54716,1.49751,0.68247,1.21594,0.00027725,0.00027725,0.00027725
29,1016.46,1.34677,0.72233,1.15689,0.87519,0.94313,0.94488,0.56286,1.45537,0.63698,1.19167,0.000269,0.000269,0.000269
30,1050.42,1.34991,0.7175,1.16231,0.87844,0.9581,0.94909,0.55395,1.47832,0.6326,1.20421,0.00026075,0.00026075,0.00026075
31,1085.69,1.3433,0.71079,1.15612,0.88175,0.95642,0.95057,0.56526,1.45456,0.63046,1.18228,0.0002525,0.0002525,0.0002525
32,1119.93,1.32991,0.69649,1.1493,0.88513,0.9415,0.93687,0.53161,1.5423,0.6365,1.23695,0.00024425,0.00024425,0.00024425
33,1154.96,1.33306,0.69757,1.14549,0.86595,0.94849,0.94916,0.56046,1.44363,0.61569,1.18413,0.000236,0.000236,0.000236
